Site,Period,QQ,TrtType,ShortShrubCover,TallShrubCover,DeadBA,LiveBA,LiPineBAprop,LiveTPH_6t12,LiveTPH_12t24,LiveTPH_24t36,LiveTPH_GT36,TotLiveTPH_GT6,TotDeadTPH_GT6,LiPineTPHprop6to12
STF,1911,1191112,Thin,30,20,1.1,19.4,0.5,19.4,21.8,18.2,7.1,66.5,1.2,0.73
STF,1911,1191113,none,24,20,0.9,23.8,0.6,14.1,37.1,17.1,10.6,78.8,1.2,0.67
STF,1911,1191114,none,36,30,3.6,15.3,0.5,17.3,17.9,10.5,7.4,53.1,5.6,0.79
STF,1911,1191305,Mod,50,5,0,24.4,0.8,12.4,18.5,11.1,8.6,50.7,0,0.65
STF,1911,1191307,Mod,80,0,0,10.8,0.8,8.8,12.9,6.5,6.5,34.7,0,0.8
STF,1911,1191309,Mod,64,20,0,12.8,0.7,2.5,14.8,15.4,4.3,37.1,0,1
STF,1911,1191311,Thin,81,5,0,23.6,0.8,40.8,11.7,20.4,11.7,84.6,0,0.79
STF,1911,1191313,Thin,15,0,0,14.2,0.6,7.4,19.2,8.6,7.4,42.6,0,1
STF,1911,1191315,Mod,20,5,0,16,0.7,9.3,10.5,9.9,8,37.7,0,0.87
STF,1911,1191501,Thin,0,0,0,22.3,0.6,3.7,6.2,14.2,17.9,42,0,0.83
STF,1911,1191807,none,48,25,0,20.2,0.6,12.4,27.2,14.8,9.9,64.2,0,0.55
STF,1911,1191810,none,54,30,0,14.8,0.8,19.2,29.7,13.6,3.1,65.5,0,0.77
STF,1911,1191811,none,68,10,0.4,14.7,0.7,16.7,11.7,9.9,8,46.3,0.6,0.59
STF,1911,1191814,none,77,10,0.4,22.9,0.7,9.3,31.5,22.2,8,71,0.6,0.87
STF,1911,1191815,none,68,20,0,13.5,0.4,17.9,17.9,6.2,6.8,48.8,0,0.66
STF,1911,1191907,none,86,10,0.5,19.1,0.7,2.5,11.1,16.7,11.1,41.4,0.6,0.5
STF,1911,1191909,none,81,10,0,26.1,0.7,3.7,17.9,24.7,13,59.3,0,1
STF,1911,1191911,none,64,80,0.4,12.3,0.6,15.4,8,5.6,9.3,38.3,0.6,0.4
STF,1911,1191913,none,75,20,0,29.8,0.5,10.5,26.6,22.9,14.2,74.1,0,0
STF,1911,1191915,none,57,35,0,11.8,0.8,1.9,6.2,6.2,9.9,24.1,0,0.67
STF,1911,2190603,none,48,40,0,10.5,0.6,1.9,9.3,4.3,4.9,20.4,0,1
STF,1911,2190604,none,68,25,0.7,11.8,0.4,5.1,7.9,6.7,8.4,28.1,0.6,0.33
STF,1911,2190605,none,68,25,0.2,11,0.1,4.5,3.9,3.9,7.3,19.7,0.6,0.13
STF,1911,2190606,none,81,15,1.1,14.4,0.3,10.5,31.5,12.4,4.3,58.7,1.2,0.18
STF,1911,2190612,none,76,15,0,13.6,0.1,5.1,13.5,6.2,7.9,32.6,0,0.11
STF,1911,2190613,none,77,10,0.6,12.5,0.2,9.5,12.4,7.9,6.2,35.9,0.6,0.35
STF,1911,2190614,none,45,20,0,24.3,0.1,8,15.4,9.3,13,45.7,0,0
