MacroPlot Name,Monitoring Status,Unit #,Date,TagNo,Status,DBH (cm),DBH (in),>24in,Ht (m),Ht (ft),CrwnRto,CrwnCl,LiCrBHt (m),LiCrBHt (ft),CrFuBHt,CrwnRad (m),CrwnRad (ft),DecayCl,CharHt (m),CharHt (ft),ScorchHt (m),ScorchHt (ft),Crown Scorch %,Comment,Fuel Depth at Base (cm),Fuel Depth at Base (in),Fuel Depth at 1m (cm),Fuel Depth at 1m (in),Crown Torch %,Health Category (1-5),MacroPlotSize,SnagPlotSize,BrkPntDia,SaComment,Species Symbol
 Plot048,PreBurnYear1,86,8/6/20 11:17,409,L,33.9,13.3464639,no,14,45.93176,67.9,C,4.5,14.76378,,1.6,5.249344,,,0,,0,0,,,,,,0,,,,,,ABCO
 Plot048,PreBurnYear1,86,8/6/20 11:17,410,L,37.05,14.58662205,no,13.9,45.603676,71.2,C,4,13.12336,,2.5,8.2021,,,0,,0,0,,,,,,0,,,,,,ABCO
 Plot048,PreBurnYear1,86,8/6/20 11:17,411,L,25.9,10.1968559,no,9.8,32.152232,78.6,I,2.1,6.889764,,1.5,4.92126,,,0,,0,0,,,,,,0,,,,,,ABCO
 Plot048,PreBurnYear1,86,8/6/20 11:17,412,L,14.75,5.80708975,no,6,19.68504,66.7,S,2,6.56168,,1,3.28084,,,0,,0,0,,,,,,0,,,,,,ABCO
 Plot052,PostBurnYear1,86,6/17/21 9:34,444,L,41,16.141741,no,12.8,41.994752,87.5,I,1.6,5.249344,,2.5,8.2021,,0.42,1.3779528,2.4,7.874016,0.5,,,,,,0,,,,,,ABCO
 Plot052,PostBurnYear1,86,6/17/21 9:34,445,L,29.85,11.75197485,no,9.8,32.152232,81.6,I,1.8,5.905512,,1.45,4.757218,,1.8,5.905512,5,16.4042,20,,,,,,0,,,,,,ABCO
 Plot052,PostBurnYear1,86,6/17/21 9:34,446,L,8.5,3.3464585,no,4.3,14.107612,94.2,I,0.25,0.82021,,0.9,2.952756,,0,0,0,0,0,,,,,,0,,,,,,PIJE
 Plot052,PreBurnYear1,86,8/6/20 11:17,444,L,41,16.141741,no,,0,,C,1.6,5.249344,,2.1,6.889764,,,0,,0,0,,,,,,0,,,,,,ABCO
 Plot052,PreBurnYear1,86,8/6/20 11:17,445,L,29.8,11.7322898,no,,0,,C,1.8,5.905512,,2,6.56168,,,0,,0,0,,,,,,0,,,,,,PIJE
 Plot052,PreBurnYear1,86,8/6/20 11:17,446,L,8.2,3.2283482,no,,0,,I,,0,,1,3.28084,,,0,,0,0,,,,,,0,,,,,,PIJE
