Site_Year,Plot ID,Treatment Unit,Easting,Northing, Cover (%),,,,,Tree Density (trees per acre),,,,,,Basal Area (ft2 per acre),,,,,,,,,,, Fuel Loading (tons per acre),,,,,,Fuel Height (in),,,,Distance to crown (ft) 
,,,,,TREE,SHRUB,HERB,CHEATGRASS,Total Exotic Grass,"Live Conifer (>3""dbh)","Live Hardwood (>3""dbh)",Snag,Sapling,Seedling,Dead Conifer (by DBH),Dead Conifer BAF,Dead Hardwood (by DBH),Dead Hardwood BAF,"Cedar, LIVE","Pinus spp, LIVE",Live Conifer (by DBH),Live Conifer BAF,Live Hardwood (by DBH),Live Hardwood BAF,Total Live Tree (by DBH),Total live BAF,"Fine Fuels (1, 10, 100 hr)",1hr ,10hr,100hr,CWD,Total,Duff,Litter,Duff/Litter,Fuel ,
Laguna_2015,64,Control,550854,3638687,35,2,45.5,3,9.5,61,0,30,0,280,,0,,10,0,30,84.8061847,30,0,20,,50,2.662,0.033,0.639,1.990,6.610,9.272,4.00,2.37,6.37,6.37,5.09
Laguna_2015,65,Control,549735,3639077,50,0,42,0.5,1,182,71,0,0,560,,0,,20,0,100,97.06915206,100,87.88334497,60,,160,1.217,0.040,0.348,0.830,3.907,5.124,5.25,5.44,10.69,10.69,10.09
Laguna_2015,66,Control,549756,3638824,25,0,44,10,15,51,0,10,70,0,,0,,10,0,120,64.66988834,120,0,0,,120,1.122,0.011,0.834,0.277,22.082,23.204,4.62,4.75,9.37,9.37,10.83
Laguna_2015,67,Control,549940,3638574,25,10,31,1,1.5,101,0,0,0,0,,0,,20,0,120,128.8141867,120,0,0,,120,2.928,0.084,1.738,1.107,0.821,3.749,5.12,5.81,10.94,10.94,9.02
Laguna_2015,68,Control,549714,3638527,40,0,43.5,0.5,2,40,40,20,0,70,,20,,0,0,100,41.78290475,100,78.87903534,100,,200,2.548,0.116,2.155,0.277,45.600,48.148,3.25,4.87,8.12,8.12,4.84
Laguna_2015,69,Control,549808,3638309,65,5,38,4,5.5,0,61,0,70,420,,0,,0,0,0,0,0,72.87798692,80,,80,1.955,0.084,0.765,1.107,36.328,38.283,1.81,2.12,3.94,3.94,3.94
Laguna_2015,70,Control,549689,3638115,60,3,37,0.5,1,61,10,10,70,420,,20,,0,0,80,109.7755993,80,11.02336195,60,,140,8.447,0.239,2.745,5.463,91.385,99.832,4.31,7.41,11.73,11.73,11.48
Laguna_2015,71,Control,549797,3637821,35,3,34.5,0,1.5,101,20,0,0,0,,0,,0,0,140,142.1854689,140,36.65478898,40,,180,2.127,0.047,0.973,1.107,2.281,4.408,3.50,4.31,7.81,7.81,9.82
Laguna_2015,72,Control,550033,3638065,15,10,64.5,8,9,51,0,10,0,0,,0,,20,0,120,109.3975509,120,0,0,,120,5.798,0.047,2.155,3.596,22.224,28.023,2.94,3.50,6.44,6.44,27.10
Laguna_2016,80,35,553928,3634347,35,1,27,26,43,90,20,20,0,0,0.00,5,27.61521576,0,0,120,11.41335258,120,4.724700494,10,16.13805307,130,0.839,0.004,0.835,0.000,1.407,2.246,0.22,0.76,0.98,1.05,15.33
Laguna_2016,81,35,554174,3634478,52,6,8,2,2,20,210,50,70,560,0.00,10,10.59110074,5,0,50,22.67830027,50,5.344084371,30,28.02238464,80,2.618,0.044,1.189,1.385,4.860,7.478,0.76,1.08,1.85,4.82,4.04
Laguna_2016,82,35,554110,3634219,35,1,1,0,0,50,20,40,0,0,19.17,15,44.10055834,25,0,80,11.74482319,80,7.927413659,25,19.67223685,105,2.181,0.025,1.044,1.111,11.868,14.049,0.30,1.43,1.72,2.38,16.12
Laguna_2016,83,35,553896,3634152,60,1,1.5,0.5,1.5,50,100,20,0,280,0.00,0,9.390090702,25,0,80,28.32990682,80,19.1501314,55,47.48003822,135,2.012,0.062,1.116,0.833,46.945,48.957,0.62,0.98,1.60,1.85,9.98
Laguna_2016,85,35,554034,3633925,30,8,8,0,0,80,0,20,0,140,0.00,0,22.65179454,20,0,160,20.81312283,160,0,0,20.81312283,160,3.844,0.095,2.088,1.661,17.642,21.486,0.98,1.62,2.61,3.74,28.75
Laguna_2016,86,35,553966,3633703,86,2.5,2.5,0,1,130,20,20,70,630,3.98,5,18.36006336,20,0,80,10.03124598,80,9.043613793,10,19.07485977,90,1.284,0.022,0.703,0.559,2.456,3.740,1.53,1.03,2.56,3.02,18.74
Laguna_2016,87,35,553623,3634263,33,0.5,20.5,20,23,70,30,60,0,70,2.76,10,19.99179374,5,0,80,12.48269847,80,8.946383816,25,21.42908228,105,1.362,0.030,0.776,0.556,0.958,2.319,0.42,0.89,1.30,1.12,23.32
Laguna_2016,88,7,552435,3638859,20,12.5,14.5,2,2,20,40,10,210,1610,0.00,0,2.589276558,10,0,40,13.7456132,40,22.12214481,90,35.86775801,130,1.073,0.022,0.497,0.554,4.129,5.202,0.69,1.33,2.02,1.64,9.30
Laguna_2016,89,7,552741,3638704,41,18,38,20,20,160,0,0,0,0,0.00,0,0,0,0,55,9.614300076,55,0,0,9.614300076,55,2.161,0.004,0.768,1.389,46.912,49.073,0.34,1.03,1.38,1.39,3.16
Laguna_2016,90,7,552544,3638548,26,18,21,3,7,40,0,0,0,0,0.00,0,0,5,0,30,25.65873726,30,0,5,25.65873726,35,7.146,0.495,3.023,3.627,8.078,15.223,1.33,1.48,2.81,3.30,5.99
Laguna_2016,91,7,552815,3638447,40,5.5,25.5,20,22,40,70,0,0,350,0.00,0,0,0,0,40,27.71682813,40,2.696048359,40,30.41287649,80,1.458,0.058,0.841,0.559,0.000,1.458,0.69,1.28,1.97,1.84,8.02
Laguna_2016,92,7,552663,3638203,46,3.5,18.5,15,16,120,90,0,0,140,0.00,0,0,0,40,20,14.25139267,60,2.396329071,0,16.64772174,60,1.941,0.065,1.045,0.830,2.103,4.045,0.39,1.23,1.62,1.30,2.92
Laguna_2016,93,7,552925,3638214,31,7.5,57.5,50,51,30,10,0,0,0,0.00,0,0,10,0,25,21.00409871,25,33.5570242,25,54.56112291,50,0.713,0.019,0.141,0.554,10.392,11.105,0.25,0.74,0.98,1.31,21.41
Laguna_2016,94,7,552356,3638667,3,11,61,50,50,0,0,0,70,0,0.00,0,0,10,0,10,0,10,0,15,0,25,0.347,0.000,0.070,0.277,0.000,0.347,0.20,0.37,0.57,0.57,N/A
