Project,Site,Date,Plot ID,Burn Severity,Tag #,Status,Species,DBH (cm),Height (m),Heigt to crown (m),Crown class,Crown width,Decay class/Health,Scorch HT,Scorch (%),Torch HT,Torch (%),Bole Char,Resprouting?,DBH (ft),Basal Area (sq ft) Indiv.,Notes
Thomas Fire,Dry Lakes,2018,BC10,,440,L,QUCH,15.4,6.7,2,CO,3,2,0,0,0,0,0,Y,0.505274,0.2005135767,
Thomas Fire,Dry Lakes,2018,BC10,,441,L,QUCH,15.15,7.2,2.5,CO,3.5,2,0.1,2,0,0,0.2,Y,0.4970715,0.194056238,
Thomas Fire,Dry Lakes,2018,BC10,,442,L,PSMA,77.2,18.5,7.5,CO,8.2,2,0,0,0,0,1.3,N,2.532932,5.03891396,
Thomas Fire,Dry Lakes,2018,BC11,,608,L,PSMA,35.6,13,4.2,CO,3.2,1,0,0,0,0,0,N,1.168036,1.071525074,
Thomas Fire,Dry Lakes,2018,BC11,,609,L,PSMA,43.8,16,5,CO,4,1,0,0,0,0,1,N,1.437078,1.621998929,
Thomas Fire,Dry Lakes,2018,BC11,,610,L,PSMA,97.2,21,2,CO,8.5,1,0,0,0,0,0.5,N,3.189132,7.987941433,
Thomas Fire,Dry Lakes,2018,BC11,,611,L,PSMA,47.1,16,4.6,CO,5,2,0,0,0,0,0,N,1.545351,1.875616983,
Thomas Fire,Dry Lakes,2018,BC11,,612,L,QUCH,9,5.4,0.1,IN,2.5,2,0,0,0,0,0,N,0.29529,0.06848372285,
Thomas Fire,Dry Lakes,2018,BC11,,613,L,QUCH,15.8,6.7,3.5,IN,4,2,0,0,0,0,0,N,0.518398,0.2110651429,
Thomas Fire,Dry Lakes,2018,BC11,,614,L,QUCH,10.1,5,3.7,IN,3,2,0,0,0,0,0,N,0.331381,0.08624721688,
Thomas Fire,Dry Lakes,2018,BC11,,615,L,QUCH,22.2,5.6,2.3,IN,6,2,0,0,0,0,0,N,0.728382,0.416685407,
Thomas Fire,Dry Lakes,2018,BC11,,616,L,QUCH,22.3,6.2,1.5,CO,4.5,2,0,0,0,0,0,N,0.731663,0.4204477844,
Thomas Fire,Dry Lakes,2018,BC11,,617,L,PSMA,56.2,17.5,4.6,CO,8,2,0,0,0,0,0,N,1.843922,2.670391723,
Thomas Fire,Dry Lakes,2018,BC11,,618,L,PSMA,40,16.5,6,CO,8.5,1,0,0,0,0,0,N,1.3124,1.352764896,
Thomas Fire,Jameson ,2018,BC12,,620,D,QUWI,8.4,7.2,,,,1,,,,,,N,0.275604,0.0596569319,
Thomas Fire,Jameson ,2018,BC12,,621,L,PSMA,65.7,23.2,8.5,CO,5,2,0,0,0,0,7,N,2.155617,3.649497591,
Thomas Fire,Jameson ,2018,BC12,,622,L,QUCH,11.8,6.8,2,IN,1,4,0,0,0,0,0,Y,0.387158,0.1177243651,
Thomas Fire,Jameson ,2018,BC12,,623,L,QUWI,12.5,6.1,2,IN,2.5,4,0,0,0,0,0,Y,0.410125,0.1321059469,
Thomas Fire,Jameson ,2018,BC12,,624,L,QUCH,15.9,8.5,4,CO,1.2,4,5,10,0,0,3,Y,0.521679,0.2137453083,
Thomas Fire,Jameson ,2018,BC12,,625,L,QUCH,16.2,8.6,4.2,CO,1.4,4,5,10,0,0,3,Y,0.531522,0.221887262,
Thomas Fire,Jameson ,2018,BC12,,626,D,QUCH,13.9,6.9,,,,1,,,0,0,,Y,0.456059,0.1633548159,
Thomas Fire,Jameson ,2018,BC12,,627,L,QUCH,12.8,6.8,5,CO,1.5,4,3,10,0,0,1.8,Y,0.419968,0.1385231253,
Thomas Fire,Jameson ,2018,BC12,,628,D,QUCH,11.6,6.6,,,,1,,,0,0,,Y,0.380596,0.1137675277,
Thomas Fire,Jameson ,2018,BC12,,629,D,UMCA,8.7,7,,,,1,,,0,0,,Y,0.285447,0.06399423435,
Thomas Fire,Jameson ,2018,BC12,,630,D,UMCA,8.7,7.1,,,,1,,,0,0,,Y,0.285447,0.06399423435,
Thomas Fire,Jameson ,2018,BC12,,631,L,PSMA,109.7,25,10.5,CO,10,3,11,15,0,0,11,N,3.599257,10.17455907,
Thomas Fire,Nordoff,2018,BC2,,779,L,QUCH,9.2,2.5,2,IN,3,2,0,0,0,0,0,Y,0.301852,0.07156126299,
Thomas Fire,Nordoff,2018,BC2,,780,L,QUCH,12.4,3,1,IN,3,2,0,0,0,0,0,Y,0.406844,0.1300007065,
Thomas Fire,Nordoff,2018,BC2,,781,L,QUCH,11.9,5,4,IN,4,2,0,0,0,0,0,Y,0.390439,0.1197281481,
Thomas Fire,Nordoff,2018,BC2,,782,L,QUCH,10.9,4,3,IN,4,3,0,0,0,0,0,Y,0.357629,0.1004512483,
Thomas Fire,Nordoff,2018,BC2,,783,L,QUCH,12.8,5,2,IN,4,4,0,0,0,0,1,Y,0.419968,0.1385231253,
Thomas Fire,Nordoff,2018,BC2,,784,L,QUCH,9.9,6,2,IN,2.5,2,0,0,0,0,0,Y,0.324819,0.08286530465,
Thomas Fire,Nordoff,2018,BC2,,785,L,QUCH,10.9,8,5,CO,3,2,0,0,0,0,0,Y,0.357629,0.1004512483,
Thomas Fire,Nordoff,2018,BC2,,786,L,QUCH,10.9,7,5,CO,3.5,2,0,0,0,0,0,Y,0.357629,0.1004512483,
Thomas Fire,Nordoff,2018,BC2,,787,L,QUCH,14.7,7.5,4,CO,3,2,0,0,0,0,0.8,Y,0.482307,0.182699354,
Thomas Fire,Nordoff,2018,BC2,,788,L,QUCH,17.2,9,4.2,CO,3,3,0,0,0,0,0.8,Y,0.564332,0.2501262292,
Thomas Fire,Nordoff,2018,BC2,,790,D,QUCH,11.8,6,,,,,,,,,,Y,0.387158,0.1177243651,
Thomas Fire,Nordoff,2018,BC2,,791,D,QUCH,18.7,9,,,,,,,,,,Y,0.613547,0.2956552227,
Thomas Fire,Nordoff,2018,BC2,,731,D,QUCH,16.7,9,,,,,,,,,,Y,0.547927,0.2357953761,
Thomas Fire,Nordoff,2018,BC2,,732,D,QUCH,9.2,3.2,,,,,,,,,,Y,0.301852,0.07156126299,
Thomas Fire,Nordoff,2018,BC2,,733,D,QUCH,9.7,8.8,,,,,,,,,,Y,0.318257,0.07955103065,
Thomas Fire,Nordoff,2018,BC2,,800,D,PSMA,14.3,7.5,,,,,,,,,,N,0.469183,0.1728918085,
Thomas Fire,Nordoff,2018,BC2,,810,D,PSMA,71.8,1.6,,,,,,,,,,N,2.355758,4.358642313,
Thomas Fire,Nordoff,2018,BC2,,734,L,PSMA,43.7,19,4.8,CO,6.5,,0,0,0,0,0,N,1.433797,1.614600996,
Thomas Fire,Nordoff,2018,BC2,,735,L,QUCH,18.2,7,3,IN,3,3,0,0,0,0,1.2,,0.597142,0.2800561525,
Thomas Fire,Nordoff,2018,BC2,,736,D,QUCH,9.3,2.1,,,,,,,,,,,0.305133,0.0731253974,
Thomas Fire,Nordoff,2018,BC2,,737,L,QUCH,19.6,7,3,IN,4,3,0,0,0,0,1.4,,0.643076,0.3247988515,
Thomas Fire,Nordoff,2018,BC2,,738,L,QUCH,13.1,6.2,3.5,IN,2.5,4,0,0,0,0,1,,0.429811,0.1450924898,
Thomas Fire,Nordoff,2018,BC2,,789,D,QUCH,8.5,4.5,,,,,,,,,,,0.278885,0.06108578982,
Thomas Fire,Nordoff,2018,BC2,,804,L,PSMA,8.7,4,1.4,IN,3,2,0,0,0,0,6.4,N,0.285447,0.06399423435,
Thomas Fire,Nordoff,2018,BC2,,811,L,QUCH,11.7,4.5,2,IN,2.3,,,,,,,,0.383877,0.1157374916,
Thomas Fire,Nordoff,2018,BC2,,792,L,PSMA,86.1,28.4,12.8,CO,8,2,0,0,0,0,0,N,2.824941,6.267706408,THE MATRIARCH
Thomas Fire,Nordoff,2018,BC2,,892,L,PSMA,36.2,18.4,8,CO,4,2,0,0,0,0,0,N,1.187722,1.107948269,
Thomas Fire,Nordoff,2018,BC2,,796,L,QUCH,8.6,6,2,IN,3.3,2,0,0,0,0,0,N,0.282166,0.06253155731,
Thomas Fire,Nordoff,2018,BC3,,702,D,PSMA,91.2,23.4,,,,1,,,,,,N,2.992272,7.032213034,
Thomas Fire,Nordoff,2018,BC3,,799,D,QUCH,8.8,3.2,,,,1,,,,,,N,0.288728,0.06547382095,
Thomas Fire,Nordoff,2018,BC3,,899,D,QUCH,8,4.3,,,,1,,,,,,N,0.26248,0.05411059583,
Thomas Fire,Nordoff,2018,BC3,,894,D,QUCH,15.7,5.5,,,,1,,,,,,Y,0.515117,0.208401887,
Thomas Fire,Nordoff,2018,BC3,,705,D,QUCH,16.1,5,,,,1,,,,,,Y,0.528241,0.2191563679,
Thomas Fire,Nordoff,2018,BC3,,895,D,QUCH,12.9,4.2,,,,1,,,,,,N,0.423249,0.1406960039,
Thomas Fire,Nordoff,2018,BC3,,795,D,PSMA,69.2,22,,,,1,,,,,,N,2.270452,4.048690056,
Thomas Fire,Nordoff,2018,BC3,,898,D,PSMA,78.5,21.4,,,,1,,,,,,N,2.575585,5.210047174,
Thomas Fire,Nordoff,2018,BC4,,301,L,PSMA,86.4,22,22,CO,2,5,22,99,0,0,22,N,2.834784,6.311459898,
Thomas Fire,Nordoff,2018,BC4,,302,D,QUCH,11.7,5,,,,1,,,,,,N,0.383877,0.1157374916,
Thomas Fire,Nordoff,2018,BC4,,303,L,PSMA,84.9,24,18,CO,3.5,4,22,90,0,0,24,N,2.785569,6.09421431,
Thomas Fire,Nordoff,2018,BC4,,304,D,QUCH,10.9,6.5,,,,1,,,,,,Y,0.357629,0.1004512483,
Thomas Fire,Nordoff,2018,BC4,,305,D,QUCH,20.4,6,,,,1,,,,,,Y,0.669324,0.3518541494,
Thomas Fire,Nordoff,2018,BC4,,306,D,QUCH,8.3,3,,,,1,,,,,,Y,0.272323,0.05824498354,
Thomas Fire,Nordoff,2018,BC4,,307,D,QUCH,8.9,1.8,,,,1,,,,,,Y,0.292009,0.06697031712,
Thomas Fire,Nordoff,2018,BC4,,308,L,PSMA,67.1,18.4,10.5,CO,4,2,10.5,10,11,<5,1.2,N,2.201551,3.806688871,
Thomas Fire,Nordoff,2018,BC4,,309,D,QUCH,8.1,5.5,,,,1,,,,,,Y,0.265761,0.05547181551,
Thomas Fire,Nordoff,2018,BC4,,310,D,QUCH,7.62,5.5,,,,1,,,,,,Y,0.2500122,0.04909217626,
Thomas Fire,Nordoff,2018,BC4,,311,L,PSMA,85.9,18,11,CO,4,3,15,60,8,<10,14,N,2.818379,6.238621963,
Thomas Fire,Nordoff,2018,BC4,,312,D,QUCH,8,6,,,,1,,,,,,Y,0.26248,0.05411059583,
Thomas Fire,Nordoff,2018,BC4,,314,D,QUCH,8.4,5.5,,,,1,,,,,,Y,0.275604,0.0596569319,
Thomas Fire,Nordoff,2018,BC4,,315,D,QUCH,8.9,5.5,,,,1,,,,,,N,0.292009,0.06697031712,
Thomas Fire,Nordoff,2018,BC4,,316,D,QUCH,9.1,5.7,,,,1,,,,,,N,0.298571,0.07001403814,
Thomas Fire,Nordoff,2018,BC5,,317,L,PSMA,96.3,12.8,6.0,IN,9.0,2,8,5,6,<1,9,N,3.159603,7.840701429,
Thomas Fire,Nordoff,2018,BC5,,318,L,PSMA,58.9,20,3,CO,7,1,0,0,0,0,1.8,N,1.932509,2.93314094,
Thomas Fire,Nordoff,2018,BC5,,319,D,QUCH,9.4,6.5,-,-,-,1,-,-,-,-,-,Y,0.308414,0.07470644137,
Thomas Fire,Nordoff,2018,BC5,,320,D,QUCH,9.8,6.5,-,-,-,1,-,-,-,-,-,Y,0.321538,0.08119971287,
Thomas Fire,Nordoff,2018,BC5,,321,D,QUCH,12.6,7.5,-,-,-,1,-,-,-,-,-,Y,0.413406,0.1342280968,
Thomas Fire,Nordoff,2018,BC5,,322,L,PSMA,80,23,6.8,CO,7,1,0,0,0,0,2.5,N,2.6248,5.411059583,
Thomas Fire,Nordoff,2018,BC6,,323,D,QUCH,8.95,4.2,,,,1,,,,,,N,0.2936495,0.06772490629,
Thomas Fire,Nordoff,2018,BC6,,324,L,QUCH,20.4,10,4.1,CO,4.5,4,10,90,4.1,9,4.1,N,0.669324,0.3518541494,
Thomas Fire,Nordoff,2018,BC6,,326,D,QUCH,8.1,5,,,,1,,,,,,Y,0.265761,0.05547181551,
Thomas Fire,Nordoff,2018,BC6,,327,L,PSMA,74.9,25.2,16,DOM,7,4,15.5,45,7.4,1,16.4,N,2.457469,4.743140371,
Thomas Fire,Nordoff,2018,BC6,,328,D,QUCH,13.9,7.5,,,,1,,,,,,Y,0.456059,0.1633548159,
Thomas Fire,Nordoff,2018,BC6,,329,D,QUCH,13.9,7,,,,1,,,,,,Y,0.456059,0.1633548159,
Thomas Fire,Nordoff,2018,BC6,,330,D,QUCH,13.6,8,,,,1,,,,,,Y,0.446216,0.1563796219,
Thomas Fire,Nordoff,2018,BC6,,331,D,PSMA,43.8,3,,,,1,,,,,,N,1.437078,1.621998929,
Thomas Fire,Nordoff,2018,BC6,,332,L,PSMA,50,17,8.4,CO,8,2,8.1,7,4.3,0.5,8.2,N,1.6405,2.11369515,
Thomas Fire,Nordoff,2018,BC6,,333,D,QUCH,17.1,7.2,,,,1,,,,,,N,0.561051,0.2472262395,
Thomas Fire,Nordoff,2018,BC6,,334,L,PSMA,26.6,17,8.5,CO,4.5,4,8.5,50,0,0,6,N,0.872746,0.598226456,
Thomas Fire,Nordoff,2018,BC6,,335,L,QUCH,20.6,12,12,CO,3,4,12,95,0,0,3,Y,0.675886,0.3587870695,
Thomas Fire,Nordoff,2018,BC6,,336,L,PSMA,47.1,16.2,7,CO,8,3,8,15,4.5,2.5,8,N,1.545351,1.875616983,
Thomas Fire,Nordoff,2018,BC7,,337,L,PSMA,63.7,24.6,13,CO,10,3,1.5,1,0,0,2,N,2.089997,3.430687869,
Thomas Fire,Nordoff,2018,BC7,,338,L,PSMA,40.4,19,11,CO,6,2,7,1,0,0,0.25,N,1.325524,1.37995547,
Thomas Fire,Nordoff,2018,BC7,,339,L,PSMA,69.6,36,23.8,CO,10,3,20,15,0,0,1.6,N,2.283576,4.095630998,
Thomas Fire,Nordoff,2018,BC7,,340,D,QUCH,9.6,4.6,,,,1,,,,,,Y,0.314976,0.077919258,
Thomas Fire,Nordoff,2018,BC7,,342,L,PSMA,79.9,35.4,23,CO,7,2,8.4,<5,0,0,17.8,N,2.621519,5.397540389,
Thomas Fire,Nordoff,2018,BC7,,343,L,PSMA,65.7,24.6,13.6,CO,10.5,3,5,<5,0,0,7,N,2.155617,3.649497591,
Thomas Fire,Nordoff,2018,BC7,,344,L,QUCH,19.6,8,4,CO,4,2,3.5,5,0,0,0,Y,0.643076,0.3247988515,
Thomas Fire,Nordoff,2018,BC7,,345,D,QUCH,15.2,6,,,,1,,,,,,Y,0.498712,0.1953392509,
Thomas Fire,Nordoff,2018,BC8,,346,D,PSMA,23.45,9,,,,1,,,,,,N,0.7693945,0.4649304988,
Thomas Fire,Nordoff,2018,BC8,,347,D,PSMA,46.1,14,,,,1,,,,,,N,1.512541,1.796818428,
Thomas Fire,Dry Lakes,2018,BC9,,427,L,PSMA,117.2,23,6.5,CO,9,2,0,0,6,5,3.7,N,3.845332,11.61335135,
Thomas Fire,Dry Lakes,2018,BC9,,428,D,PSMA,10.55,,,,,4,,,,,,N,0.3461455,0.09410382176,
Thomas Fire,Dry Lakes,2018,BC9,,429,L,PSMA,46.6,16,5,CO,8,2,0,0,0,0,0,N,1.528946,1.836006336,
Thomas Fire,Dry Lakes,2018,BC9,,430,L,PSMA,52.65,18.2,6.1,CO,5.5,4,0,0,0,0,1.7,N,1.7274465,2.343684205,
Thomas Fire,Dry Lakes,2018,BC9,,431,L,PSMA,55.45,15.5,5,CO,6.2,2,0,0,0,0,0.5,N,1.8193145,2.599593504,
Thomas Fire,Dry Lakes,2018,BC9,,432,L,PSMA,60.2,21,7.4,CO,7,2,0,0,0,0,3,N,1.975162,3.064046308,
Thomas Fire,Dry Lakes,2018,BC9,,433,L,PSMA,45,18.5,6.6,CO,6.5,2,3,0.5,0,0,2.8,N,1.47645,1.712093071,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,0,,
