Project,Site,Year,Plot Id,"Transect (N,E,S,W)",Slope,Dom Tree,Tot. Woody (Ton/Acr.),Tot. Fine (Ton/Acr.),1 hr (Ton/Acr.),10 hr (Ton/Acr.),100 hr (Ton/Acr.),Tot. CWD (Ton/Acr.),Sound CWD (Ton/Acr.),Rotten CWD (Ton/Acr.),Duff + Litter Avg (in),Fuel Height Avg (in),Duff + Litter Avg (cm),Fuel Height Avg (cm),n 1hr,n 10hr,n 100hr,Duff 1 (cm),Litter 1 (cm),Duff 2 (cm),Litter 2 (cm),Fuel 1:1,Fuel 1:2,Fuel 1:3,Fuel 2:1,Fuel 2:2,Fuel 2:3,notes for fuels,notes for CWD,Snd CWD dia 1 (cm),Snd CWD dia 1 (in),Dia L (cm),Dia S (cm),Length (m),Decay Class,Snd CWD dia 2 (cm),Snd CWD dia 2 (in),Dia L (cm),Dia S (cm),Length (m),Decay Class,Snd CWD dia 3 (cm),Snd CWD dia 3 (in),Dia L (cm),Dia S (cm),Length (m),Decay Class,Snd CWD dia 4 (cm),Snd CWD dia 4 (in),Dia L (cm),Dia S (cm),Length (m),Decay Class,Snd CWD dia 5 (cm),Snd CWD dia 5 (in),Dia L (cm),Dia S (cm),Length (m),Decay Class,Snd CWD dia 6 (cm),Snd CWD dia 6 (in),Dia L (cm),Dia S (cm),Length (m),Decay Class,Snd CWD dia 7 (cm),Snd CWD dia 7 (in),Dia L (cm),Dia S (cm),Length (m),Decay Class,Rtn CWD dia 1 (cm),Rtn CWD dia 1 (in),Rtn Dia L 1,Rtn Dia S 1,Rtn Length 1,Rnt Decay Class 1,Rtn CWD dia 2 (cm),Rtn CWD dia 2 (in),Rtn Dia L 2,Rtn Dia S 2,Rtn Length 2,Decay class 2,Rtn CWD dia 3 (cm),Rtn CWD dia 3 (in),Rtn Dia L 3,Rtn Dia S 3,Rnt L (m),Decay Class,Rtn CWD dia 4 (cm),Rtn CWD dia 4 (in),Rtn Dia L 4,Rtn Dia S 4,Rnt L (m),Decay Class,Rtn CWD dia 5 (cm),Rtn CWD dia 5 (in),Rtn Dia L 5,Rtn Dia S 5,Rnt L (m),Decay Class,Rtn CWD dia 6 (cm),Rtn CWD dia 6 (in),Rtn Dia L 6,Rtn Dia S 6,Rnt L (m),Decay Class,Rtn CWD dia 7 (cm),Rtn CWD dia 7 (in),Rtn Dia L 7,Rtn Dia S 7,Rnt L (m),Decay Class,Sum snd CWD Dia's^2,Sum Rtn CWD dia's^2,Fuel 1 avg,Fuel 2 avg,d^2 1hr,s 1hr,a 1hr,Nl 1hr,d^2 10hr,s 10hr,a 10hr,Nl 10hr,d^2 100hr,s 100hr,a 100hr,Nl 100hr,s CWD sound,a CWD sound,Nl CWD sound,s CWD rotten ,a CWD rotten,Nl CWD rotten,c
Thomas Fire,Dry Lakes,2018,BC11,S,80,Composite,2.09,2.09,0.32,0.36,1.42,0.00,0.00,0.00,2.17,2.26,5.50,5.75,17,1,1,0,0,5,6,0,0,0.5,7,14,13,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0,0,0.1666666667,11.33333333,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1.280624847
Thomas Fire,Dry Lakes,2018,BC11,N,59,Composite,8.87,8.87,0.51,1.94,6.43,0.00,0.00,0.00,2.85,2.72,7.25,6.92,30,6,5,3,5.5,3,3,5.5,6,3,12,9,6,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0,0,4.833333333,9,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1.161077086
Thomas Fire,Jameson,2018,BC12,S,79,Composite,0.54,0.54,0.19,0.35,0.00,0.00,0.00,0.00,0.98,0.52,2.50,1.33,10,1,0,2,1,2,0,1,0.5,0.5,0,5,1,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0,0,0.6666666667,2,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1.27440182
Thomas Fire,Jameson,2018,BC12,N,99,Composite,0.06,0.06,0.06,0.00,0.00,0.00,0.00,0.00,1.67,0.54,4.25,1.37,3,0,0,1,1.5,0,6,0.5,0.5,1,6,0.1,0.1,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0,0,0.6666666667,2.066666667,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1.407160261
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0,0,#DIV/0!,#DIV/0!,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0,0,#DIV/0!,#DIV/0!,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0,0,#DIV/0!,#DIV/0!,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0,0,#DIV/0!,#DIV/0!,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0,0,#DIV/0!,#DIV/0!,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0,0,#DIV/0!,#DIV/0!,0.0151,0.48,1.13,6.56,0.289,0.48,1.13,6.56,2.76,0.4,1.13,13.12,0.4,1,37.07,0.3,1,37.07,1
