FOREST,RANGER DISTRICT,Site_Year,Plot ID,Plot Size (acres),Treatment Unit,Easting,Northing, Cover (%) Live,,,,Tree Density (trees per acre),,,,,Basal Area (ft2 per acre),,,,,,,,,,Fuels (tons per acre),,,,,Fuel Height (in.),,Distance to crown (ft) 
,,,,,,,,TREE,SHRUB,HERB,BROMUS SP.,"Live Conifer (>3""dbh)","Live Hardwood (>3""dbh)",Snag ,Sapling,Seedling,Dead Conifer (by DBH),Dead Conifer BAF,Dead Hardwood (by DBH),Dead Hardwood BAF,Live Conifer (by DBH),Live Conifer BAF,Live Hardwood (by DBH),Live Hardwood BAF,Total Live Tree (by DBH),Total live BAF,1hr ,10hr,100hr,CWD,Total,Duff/Litter,Fuel ,
San Bernarndino,,BluffMesa_2020,27,1//10,Unit H,502360,3786721,35,1,1,0,30.35,0.00,0.00,69.77,69.77,0.00,10,0.0,0,149.87,160,0,0,149.9,160,0.05,3.70,0.83,2.50,7.08,0.5,0.6333664838,47.24
San Bernarndino,,BluffMesa_2020,33,1//10,Unit H,502518,3786610,29,1,1,0,40.47,0.00,0.00,0.00,0.00,0.00,10,0.0,0,190.44,110,0,0,190.4,110,0.01,0.35,2.22,37.32,39.89,0.6,0.8695870838,41.58
San Bernarndino,,BluffMesa_2020,41,1//10,Back of the Yards,511702,3788014,16,3.5,1,0,10.12,20.20,0.00,0.00,69.77,0.00,0,0.0,0,9.95,90,14.2,10,24.2,100,0.95,6.66,7.45,22.13,37.20,4.3,3.16929305,8.86
San Bernarndino,,BluffMesa_2020,42,1//10,Back of the Yards,511767,3787893,26.5,6.5,1.5,0,10.12,121.40,40.47,0.00,0.00,0.00,0,3.486252687,30,9.31,50,69.8,100,79.1,150,0.41,8.12,6.43,7.36,22.32,3.0,2.987206338,14.51
San Bernarndino,,BluffMesa_2020,43,1//10,Back of the Yards,511879,3788126,18.5,4,1,0,40.47,40.50,0.00,0.00,69.77,0.00,0,0.0,0,43.37,80,48.2,40,91.6,120,1.17,10.71,4.48,1.04,17.40,2.8,1.776575763,11.11
San Bernarndino,,BluffMesa_2020,46,1//10,Back of the Yards,511476,3788121,15,2,1,0,10.12,111.30,10.12,69.77,69.77,1.02,10,0.0,0,7.72,20,33.2,30,40.9,50,1.51,11.72,9.70,2.95,25.87,3.4,3.113682784,8.01
San Bernarndino,,BluffMesa_2020,47,1//10,Back of the Yards,512197,3788046,35.5,7.5,1,0,30.35,111.30,0.00,69.77,1325.70,0.00,20,0.0,0,4.66,100,109.1,120,113.8,220,0.53,3.49,0.83,26.32,31.17,2.7,6.284452213,10.05
San Bernarndino,,BluffMesa_2020,48,1//10,Unit 86,502663,3787038,10,3.5,6,0,50.59,0.00,10.12,0.00,0.00,1.83,10,0.0,0,43.86,100,0,0,43.9,100,0.14,1.46,1.38,10.63,13.62,1.6,1.320866855,12.99
San Bernarndino,,BluffMesa_2020,49,1//10,Unit 86,502600,3787201,9,4.5,1.5,0,60.70,0.00,40.47,0.00,0.00,24.80,50,0.0,0,185.61,110,0,0,185.6,110,5.35,62.45,4.44,50.07,122.32,3.3,4.937994793,20.72
San Bernarndino,,BluffMesa_2020,50,1//10,Unit 86,502811,3787146,10.5,38,1,0,40.47,0.00,0.00,0.00,0.00,0.00,20,0.0,0,51.06,150,0,0,51.1,150,0.05,1.33,1.11,1.07,3.57,3.0,2.42126115,9.10
